ENTREZGENE	M172_1_CDS	M172_2_CDS	M172_3_CDS	Mgfp_1_CDS	Mgfp_2_CDS	Mgfp_3_CDS	ENSG
FUN14	499	996	877	862	789	948	YAL008W
MTC4	227	438	428	327	381	473	YBR255W
FHN1	34	92	70	28	28	40	YGR131W
PET8	255	494	476	472	476	497	YNL003C
CKS1	105	207	223	104	115	172	YBR135W
CDC28	112	292	269	282	297	323	YBR160W
IML2	582	1262	1176	1042	1096	1184	YJL082W
YPL191C	160	361	320	242	255	334	YPL191C
CLG1	1198	2669	2581	1711	1723	2528	YGL215W
MUD2	117	245	256	162	200	206	YKL074C
ICS3	39	81	73	31	45	52	YJL077C
CWP2	3666	7672	7045	10446	10223	16085	YKL096W-A
AYR1	978	1892	1648	2332	2107	2536	YIL124W
YPL039W	261	502	479	316	289	355	YPL039W
HUL5	329	705	631	494	493	535	YGL141W
PFD1	107	183	158	136	105	145	YJL179W
YDR316W-A	0	0	0	0	0	0	YDR316W-A
YDR316W-B	0	0	0	0	1	0	YDR316W-B
TIR4	46	72	60	59	60	52	YOR009W
MAE1	762	1588	1642	525	721	889	YKL029C
ATG29	108	229	216	171	212	240	YPL166W
ASK1	66	133	138	69	92	106	YKL052C
THR1	406	872	798	525	569	714	YHR025W
SMC5	62	117	138	65	93	103	YOL034W
HIR1	74	170	162	80	89	77	YBL008W
ARC15	726	1441	1299	1661	1650	1960	YIL062C
MSN1	256	495	527	420	396	534	YOL116W
CAB5	573	1160	1034	954	938	1120	YDR196C
SAF1	582	1176	1193	763	779	1133	YBR280C
PPG1	253	574	523	460	452	504	YNR032W
PET494	446	892	906	750	817	1061	YNR045W
SEC65	299	617	582	498	510	559	YML105C
CAF40	313	670	596	491	530	678	YNL288W
BET1	165	283	279	213	254	276	YIL004C
AIM38	397	858	852	615	637	825	YNR018W
POC4	45	68	90	84	66	92	YPL144W
BNA6	940	2086	1626	1336	1394	1481	YFR047C
SBH1	262	564	485	582	519	644	YER087C-B
YHR078W	309	661	561	457	404	500	YHR078W
YJR115W	403	817	822	595	594	1021	YJR115W
ILV5	6953	15459	13790	12809	13496	14329	YLR355C
TEL2	78	187	175	201	185	204	YGR099W
EXG1	722	1707	1421	1807	1926	1858	YLR300W
RNQ1	762	1444	1343	916	1031	1339	YCL028W
HIR3	115	232	213	192	157	211	YJR140C
EXO1	123	279	249	180	153	244	YOR033C
YOR062C	198	382	400	199	171	311	YOR062C
QDR3	437	900	840	402	461	685	YBR043C
YHR112C	363	743	690	445	412	551	YHR112C
LOT6	124	279	256	140	142	167	YLR011W
AGE2	305	659	585	393	395	528	YIL044C
ANS1	5	19	21	11	10	62	YHR126C
HBS1	357	757	695	526	505	626	YKR084C
YER121W	159	318	317	349	309	430	YER121W
IMG1	327	704	620	505	534	599	YCR046C
EAP1	555	1127	1112	512	756	964	YKL204W
PNT1	120	271	253	207	227	266	YOR266W
SHE9	162	429	337	307	257	359	YDR393W
ROK1	144	209	256	109	102	199	YGL171W
OPT2	68	166	144	190	224	240	YPR194C
UGA1	1771	3605	3147	2562	2671	3160	YGR019W
RIB1	671	1445	1430	874	963	1304	YBL033C
JLP1	117	236	261	125	143	210	YLL057C
URE2	667	1355	1263	967	960	1262	YNL229C
MET2	95	238	205	112	134	221	YNL277W
YET2	112	201	191	115	107	157	YMR040W
SED1	13710	28651	30376	27652	32665	38801	YDR077W
RSN1	528	1041	915	914	940	1072	YMR266W
OAF3	214	532	478	301	309	355	YKR064W
RLM1	475	981	1065	842	987	1030	YPL089C
CAB4	119	262	193	189	206	215	YGR277C
SCM3	53	109	109	119	114	107	YDL139C
TRS23	356	800	781	656	696	796	YDR246W
MPD1	152	384	323	446	408	437	YOR288C
FEN2	202	455	454	280	283	397	YCR028C
CYB2	2151	4598	3749	5187	4431	6991	YML054C
YLR179C	1047	2307	2071	1566	1726	1777	YLR179C
ARP8	424	769	795	524	569	708	YOR141C
HSP32	27	51	51	39	36	32	YPL280W
SRO77	140	256	268	132	127	189	YBL106C
RNA15	190	316	290	238	243	286	YGL044C
GLE2	152	379	314	269	266	291	YER107C
CHS2	100	233	210	157	176	279	YBR038W
YEL047C	663	1440	1307	960	866	1035	YEL047C
TIF6	584	1202	1126	823	788	1033	YPR016C
ASP3-2	0	0	0	0	0	0	YLR157C
PSA1	2776	6202	5700	8410	7969	8660	YDL055C
MRPL39	217	487	368	384	390	416	YML009C
TCB3	830	1980	1683	2024	1942	2218	YML072C
PEX7	357	649	663	469	473	648	YDR142C
OTU1	402	794	831	504	481	614	YFL044C
RAM2	487	992	918	680	727	906	YKL019W
URA2	1561	3421	3213	1683	1653	1715	YJL130C
BOI1	300	673	607	581	589	690	YBL085W
SEC5	323	664	710	546	601	705	YDR166C
YHR212W-A	0	0	0	0	0	0	YHR212W-A
STN1	189	402	366	208	186	248	YDR082W
YDR348C	491	1029	1065	737	886	1101	YDR348C
FAS1	1939	5018	3989	5942	5377	5081	YKL182W
YDR333C	369	722	704	471	456	570	YDR333C
YKL018C-A	137	252	217	264	247	295	YKL018C-A
SMA1	18	52	46	12	17	39	YPL027W
SQT1	143	355	305	241	227	265	YIR012W
NMD4	111	201	161	200	166	196	YLR363C
CSN9	46	103	112	61	52	63	YDR179C
ATG23	142	280	296	148	177	209	YLR431C
PET10	1481	3022	2941	1686	1807	2392	YKR046C
APL1	520	1187	1115	976	907	1163	YJR005W
NCA3	1390	2945	3109	1035	1054	2884	YJL116C
CHZ1	602	1056	1020	1043	925	1025	YER030W
SRB2	76	197	148	138	150	175	YHR041C
NPA3	516	1021	992	708	658	849	YJR072C
GAP1	503	1068	1036	450	486	816	YKR039W
CDH1	390	912	893	637	739	889	YGL003C
TAE2	620	1210	1103	744	838	984	YPL009C
MSW1	104	250	246	169	173	154	YDR268W
IME4	591	1333	1263	964	1136	1521	YGL192W
CYK3	178	374	377	291	270	287	YDL117W
RRB1	371	789	836	541	538	694	YMR131C
HER2	121	257	233	196	186	199	YMR293C
HXT8	47	117	87	71	79	89	YJL214W
SLM1	705	1564	1495	985	1065	1621	YIL105C
ERG13	448	979	852	666	670	880	YML126C
ATG26	489	998	866	652	659	766	YLR189C
MCM10	56	105	112	58	57	84	YIL150C
RMR1	308	561	535	408	430	560	YGL250W
NGR1	1614	3822	3651	1889	2096	3122	YBR212W
CPA2	1248	2698	2801	1599	1770	2526	YJR109C
NDL1	148	356	304	304	237	302	YLR254C
